Geo Point;Geo Shape;FCsubtype;inspireId;beginLifes;F_CODE;ICC;EXS;FCO;GAW;LLE;NAMN1;NAMN2;NAMA1;NAMA2;NLN1;NLN2;RCO;RGC;RRA;RSD;RSU;TEN;TUC;Shape_Leng
55.64736583141532, -3.633096466853882;"{""coordinates"": [[-3.602210000000185, 55.60591449999984], [-3.605433000000204, 55.61062449999983], [-3.610975500000194, 55.61414649999983], [-3.6283320000001993, 55.62299349999983], [-3.636295000000189, 55.631155499999835], [-3.637254000000183, 55.63509699999983], [-3.636389500000206, 55.641039499999835], [-3.633778000000206, 55.647005499999835], [-3.630924000000192, 55.65863649999983], [-3.6307295000002, 55.66160449999984], [-3.632630500000203, 55.66526399999984], [-3.640887500000189, 55.67261249999984], [-3.662802500000197, 55.69065049999983]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:9821ca6e-93f6-45b5-a7f8-1eba9b662f;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;1;45;0.118243677319999
52.154786558640545, 1.404535488914483;"{""coordinates"": [[1.402652999999788, 52.153549499999855], [1.403963999999803, 52.15443799999983], [1.406436999999812, 52.15599449999985]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:9e15c31c-e831-4adc-9915-434cde0105;2015-10-26T07:00:00+07:00;AN010;GB;28;3;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.00450577272
51.299695379447265, -0.6658452380898241;"{""coordinates"": [[-0.677640500000194, 51.298298999999844], [-0.668427000000207, 51.29945349999983], [-0.6540380000001851, 51.300988499999846]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:c0ae1c82-9394-4c17-bb56-270d1f998e;2015-10-26T07:00:00+07:00;AN010;GB;28;2;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;1;1;1;1;45;0.02375619502
55.94273897928187, -3.228293948991877;"{""coordinates"": [[-3.235765500000184, 55.941006499999844], [-3.228454000000198, 55.94269699999984], [-3.220824500000191, 55.94448049999983]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:f3844ad9-e47b-4899-a1a9-28a935dfa8;2015-10-26T07:00:00+07:00;AN010;GB;28;2;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;1;45;0.01533957307
50.227992091850986, -5.242552430928192;"{""coordinates"": [[-5.240457000000191, 50.228514999999845], [-5.242044500000191, 50.22813549999984], [-5.244641500000199, 50.22744399999985]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:7afc3edc-d886-4a74-b972-1f4e8202d6;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.00431971658
53.38892502684954, -2.171539922556201;"{""coordinates"": [[-2.170618500000188, 53.38974549999983], [-2.171985000000205, 53.38852149999982], [-2.17247500000019, 53.38812049999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:775fb198-c1e6-4eb8-a19f-5b5027c5f3;2015-10-26T07:00:00+07:00;AN010;GB;28;2;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;1;45;0.002467696869999
51.22668831869873, -0.30405299696187504;"{""coordinates"": [[-0.305754000000206, 51.23037849999983], [-0.302965500000198, 51.224402499999854], [-0.302504000000198, 51.222938999999855]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:cc822d23-78e1-4999-9e53-3134ffd464;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;1;1;1;2;45;0.00812910706
53.65917924999984, -1.4657170000001971;"{""coordinates"": [[-1.46472700000021, 53.66016599999983], [-1.466707000000184, 53.65819249999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:8ce6604a-06b0-4838-863b-c1235c1fde;2015-10-26T07:00:00+07:00;AN010;GB;28;3;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.00279555044
50.8713938473642, -2.749217035165683;"{""coordinates"": [[-2.745239500000196, 50.871612999999854], [-2.750497000000195, 50.87127349999983], [-2.753198000000197, 50.871321499999844]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:09203982-0c42-470f-a77f-0213da4cb4;2015-10-26T07:00:00+07:00;AN010;GB;28;3;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.00796987658
51.40761510109331, -3.45876974794066;"{""coordinates"": [[-3.460196500000194, 51.408315499999844], [-3.459215500000198, 51.407999999999845], [-3.457442000000185, 51.40671899999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:e95fd48d-c6ae-4cf0-9a48-fd93372f57;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.003218238939999
